category,product_name,vendor_name,product_capterra_url,url,rating,total_reviews,description,image,_source
3D Cad,KeyCreator,Kubotek Kosmos,https://www.capterra.com/p/9512/KeyCreator/,https://www.capterra.com/p/9512/KeyCreator/,4.5,112,"Unconstrained CAD/CAM built for fast, flexible design and manufacturing - exhaustive translators combined with direct modeling.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7428728a-2db7-4b2f-915f-579723b80601.png,https://www.capterra.com/3d-cad-software
Anti Spam,Truecaller,True Software Scandinavia,https://www.capterra.com/p/234073/Truecaller/,https://www.capterra.com/p/234073/Truecaller/,4.4,46,TrueCaller is a Caller ID and spam blocking application that includes an intelligent dialer and chat/SMS capabilities. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4a896374-89b7-4adf-bb9b-5964140af01a.jpeg,https://www.capterra.com/anti-spam-software
Animal Shelter,AnimalsFirst,WagBrag,https://www.capterra.com/p/179224/AnimalsFirst/,https://www.capterra.com/p/179224/AnimalsFirst/,5,2,Animal shelter management solution that helps rescues and shelters get organized and run more efficiently.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/f785e787-50e2-48b0-8ee4-fb1e87ab8d3b.png,https://www.capterra.com/animal-shelter-software
Ad Server,AdPlayer.Pro,AdPlayer.Pro,https://www.capterra.com/p/202100/AdPlayer-Pro/,https://www.capterra.com/p/202100/AdPlayer-Pro/,4.9,10,"Lightweight, fully customizable ad-enabled video player with broad ad format support (outstream & instream) and self-serve capabilities",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/49abd084-f36c-44bb-b5b8-ff0544e2451e.png,https://www.capterra.com/ad-server-software
Accreditation Management,NAAC Accreditation,Kramah Software India,https://www.capterra.com/p/235165/NAAC-Accreditation/,https://www.capterra.com/p/235165/NAAC-Accreditation/,4,1,"Accreditation analytics software that lets businesses view and analyze strengths, weaknesses, and other KPIs to meet NAAC standards. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7b3ddac5-2e34-4db6-878a-5a431b9a3d11.jpeg,https://www.capterra.com/accreditation-management-software
3D Cad,Ultimaker Cura Enterprise,Ultimaker,https://www.capterra.com/p/215341/Ultimaker-Cura-Enterprise/,https://www.capterra.com/p/215341/Ultimaker-Cura-Enterprise/,4.7,29,Ultimaker Cura Enterprise is software for preparing and printing 3D-print models with standard profiles.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/30c39547-9439-46ea-b628-ff753233fca1.png,https://www.capterra.com/3d-cad-software
Anti Spam,MailCleaner,MailCleaner,https://www.capterra.com/p/93208/MailCleaner/,https://www.capterra.com/p/93208/MailCleaner/,4.6,25,"Professional anti spam and threats server protection for ISP, SME, SMI & large companies.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/b6dace13-5f4e-46a3-b11e-2aeb464fddac.png,https://www.capterra.com/anti-spam-software
Animation,Flaticon,Freepik Company,https://www.capterra.com/p/266947/Flaticon/,https://www.capterra.com/p/266947/Flaticon/,4.8,15,Flaticon contains the largest collection of high-quality icons: ready to be used in web,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3980551e-223a-4c04-b355-9e9365acb4b1.png,https://www.capterra.com/animation-software
3D Cad,Zbrush,Pixologic,https://www.capterra.com/p/210456/Zbrush/,https://www.capterra.com/p/210456/Zbrush/,4.7,27,"Digital sculpting tool that supports mesh detailing, HD geometry, polypaint, preview rendering system, noisemaker and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/505d69fb-cdd4-4541-8938-af0e32211e7e.png,https://www.capterra.com/3d-cad-software
Anti Spam,Spam Filtering and Malware Protection,Hornetsecurity,https://www.capterra.com/p/163321/Hornetsecurity/,https://www.capterra.com/p/163321/Hornetsecurity/,4.6,19,Comprehensive features and thorough filtering mechanisms keep your mailbox free of annoying and harmful spam and malware.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/bde94896-6fed-4b7b-b224-3fc42aa7368b.png,https://www.capterra.com/anti-spam-software
Android Kiosk,Kiosk Browser,ProCo IT,https://www.capterra.com/p/173462/Kiosk-Browser/,https://www.capterra.com/p/173462/Kiosk-Browser/,5,1,Convert your Android devices into kiosks or digital signage stations. Limited functionality free version and pro version are available.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/74a34ea3-8721-4905-b377-92dfc7876431.png,https://www.capterra.com/android-kiosk-software
Access Governance,Heimdal Application Control,Heimdal Security,https://www.capterra.com/p/248020/Heimdal-Application-Control/,https://www.capterra.com/p/248020/Heimdal-Application-Control/,4,2,A revolutionary application control solution that makes app whitelisting and blacklisting simple through a one-click toolbox.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/dabfc9b8-f57f-48e9-ad5e-1646ffda69a8.png,https://www.capterra.com/access-governance-software
3D Cad,Shapr3D,Shapr3D,https://www.capterra.com/p/184498/Shapr3D/,https://www.capterra.com/p/184498/Shapr3D/,4.6,19,"Shapr3D is the first professional 3D modeling app for iPad and Apple Pencil, now also available on macOS.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/936bde02-8897-4547-a2c3-b86edfd3a87f.png,https://www.capterra.com/3d-cad-software
3D Architecture,Shapespark,Shapespark,https://www.capterra.com/p/209128/Shapespark/,https://www.capterra.com/p/209128/Shapespark/,4.4,8,Turn architectural 3D models into interactive web walkthroughs. Share them via links and embed on websites. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/89906e66-d7be-4f3b-ac30-62eb516b66f5.png,https://www.capterra.com/3d-architecture-software
3D Cad,MetaCAM,Touchstone Systems,https://www.capterra.com/p/172995/3D-CAD/,https://www.capterra.com/p/172995/3D-CAD/,4.8,17,3D CAD software that supports the import of various file formats as well as user produced drawings.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/972ea7eb-44c1-4f00-9e1f-db6999e00a17.png,https://www.capterra.com/3d-cad-software
