Dataset #,Dataset Name,Perspective,Sample Size,Key Variables,Data Type,RQ Relevance,Real Data?
1,Top 100 SaaS Companies (Kaggle),Seller (Company Performance),100 companies,"Company_name, Valuation, ARR, Growth_rate, Employees, Industry, Founding_year",Firm Financial Data,RQ3 (Firm-level),Yes
2,G2 Software Reviews Dataset,User (B2B Software Buyer),"1.9M+ reviews, 37K products","Overall_rating, Ease_of_use, Implementation, Features, Support, Value, Review_text, Role, Company_size, Industry",Reviews + Ratings,"RQ1, RQ2, RQ3",Yes
3,Capterra Software Reviews Dataset,User (B2B Software Buyer),"2M+ reviews, 36K products","Overall_rating, Ease_of_use, Features, Support, Value, Review_text, Reviewer_role, Company_size, Industry",Reviews + Ratings,"RQ1, RQ2, RQ3",Yes
4,AWS SaaS Sales Dataset (EXCLUDED),N/A (EXCLUDED - Fictitious),N/A (Fictitious),N/A (EXCLUDED),Transactional (Fictitious),None (EXCLUDED),No (EXCLUDED)
5,Mendeley SaaS Customer Experience Survey,User (SaaS Customer),50 SaaS users,"Response_time, Chat_satisfaction, Agent_knowledge, AI_integration, Industry, Company_size",Survey (Mixed methods),"RQ1, RQ2",Yes
6,ACSI (American Customer Satisfaction Index),User (Consumer),"8,239 (2015); 400K annually","SATIS, CONFIRM, IDEAL, OVERALL, CUSTOM, WRONG, PQ, QP, COMP, HANDLE, REPUR, AGE, EDUCAT, INCOME, GENDER",Survey (Likert 1-10),RQ1 (Consumer baseline),Yes
7,Chrome User Experience Report (CrUX),User (Web Visitor),Millions (daily),"LCP, INP, CLS, FCP, TTFB, Device_type, Connection_type",Real User Monitoring,RQ1 (Performance baseline),Yes
8,Mendeley UI/UX User Interaction Dataset,User (Digital Platform User),"2,271 respondents","UI_preference, UX_satisfaction, Platform_type, Ease_of_use, Feature_clarity",Survey (Likert),RQ1 (Consumer baseline),Yes
9,Customer Satisfaction Records (10K+),User (Customer),"10,000+ records","Satisfaction_score, Loyalty, Likelihood_to_renew, Complaint, Service_quality, Resolution_time",Survey/CRM Data,"RQ2, RQ3",Yes
10,e-CRM Dataset (Mendeley),User (E-commerce Consumer),485 respondents,"Trust_score, Service_quality, Loyalty, Online_shopping, Demographics",Survey (Likert),RQ1 (Consumer baseline),Yes
11,HG Insights CRM Market Report,Seller (Market Intelligence),1.4M companies tracked,"Market_size, Adoption_rate, Company_count, Purchasing_criteria, Buyer_profile, Implementation_time",Market Intelligence,"RQ1, RQ3",Yes
12,HG Insights ERP Market Report,Seller (Market Intelligence),3.8M companies tracked,"Market_size, Adoption_rate, Company_count, Complexity_barriers, Implementation_challenges",Market Intelligence,"RQ1, RQ3",Yes
13,Gartner Magic Quadrant CRM 2024,Seller (Analyst Evaluation),20-30 vendors evaluated,"Vendor_positioning, Capability_scores, UX_weight_in_evaluation, Market_presence",Analyst Evaluation,RQ1 (UX weighting),Yes
14,Gartner Magic Quadrant Data Catalogs Q3 2024,Seller (Analyst Evaluation),12 vendors evaluated,"Vendor_positioning, Ease_of_use_criteria, Implementation, Capability_matrix",Analyst Evaluation,RQ1 (UX criteria),Yes
15,Forrester Wave Enterprise Architecture,Seller (Analyst Evaluation),Varies,"Vendor_positioning, Feature_completeness, Ease_of_deployment, Market_momentum",Analyst Evaluation,RQ1 (UX emphasis),Yes
16,Stack Overflow Developer Survey 2025,User (Developer),"49,000+ developers","Programming_languages, Tools_used, AI_adoption, Satisfaction, Frustration, Want_to_use, Salary",Survey (Multiple),"RQ1, RQ2",Yes
17,Stack Overflow Developer Survey 2024,User (Developer),"65,000+ developers","Tools_used, Satisfaction_ratings, IDE_preference, Framework_adoption",Survey (Multiple),"RQ1, RQ2",Yes
18,Stack Overflow 2025 AI Section,User (Developer),Subset of 49K,"GenAI_usage, AI_frustration_level, Tool_adoption_for_AI, Use_cases",Survey (Categorical),"RQ1, RQ2",Yes
19,IDC SME AI Adoption Forecast,Seller (Market Forecast),SME population survey,"SME_budget_adjustment, AI_priority, Investment_expectations, Firm_size_impact",Market Forecast,RQ1 (Market demand),Yes
20,IDC SME Digital Adoption Report,Seller (Market Analysis),SME population survey,"Adoption_rates_by_function, Technology_barriers, Firm_size_impact, ROI_expectations",Market Analysis,RQ1 (Adoption barriers),Yes
21,OECD Digital Transformation of SMEs,Mixed (SME Adoption),OECD countries + emerging,"Digitalization_barriers, Technology_adoption, Business_function_priorities, Firm_size_impact",Policy Analysis + Survey,"RQ1, RQ2",Yes
22,OECD SME Digitalisation 2024 Survey,Mixed (SME Adoption),"1,000+ SMEs, 7 countries","Digital_readiness, Data_usage_percentage, Team_structure, Technology_adoption","Survey (1,000+ resp.)","RQ1, RQ2",Yes
23,UK SME Digital Adoption Taskforce Report,Seller (Policy Analysis),UK SME population,"Digital_intensity_score, SME_participation, Policy_impact, Business_outcomes",Policy Analysis,RQ1 (Adoption),Yes
24,Lakeside Software Application Performance,Seller (Enterprise IT),Enterprise IT data,"Application_behavior, Resource_usage, User_experience_metrics, Performance_impact",Enterprise Data,RQ2 (Performance→adoption),Yes
